,atm_type,aero_type,band_name,coef_1,coef_2,coef_3,coef_4,coef_5,coef_6,coef_7,intercept
0,sas,maritime,band_1,0.2572680113775864,0.5353670032028728,0.7848169315508077,0.2985930934495515,1.443083798185306,-1.602348936264981,0.10647461509289018,0.19474020631000521
1,sas,maritime,band_2,0.3032007656111794,0.42322884093785135,0.7303211193066416,0.2314504842414141,1.3007377902279147,-1.4471372681257566,0.055334879777796775,0.15174822765843493
2,sas,maritime,band_3,0.336468805159938,0.3041480201357568,0.6561485817514884,0.16535343157420104,1.1202799272709782,-1.260068270256421,0.0034748481874152374,0.10103467218313306
3,sas,maritime,band_4,0.3429094183691929,0.24658882604482937,0.6091793101337197,0.13687116784682107,1.0146514075364323,-1.1551840120631625,-0.019291428364591922,0.07520961190147635
4,sas,maritime,band_5,0.3361874045464483,0.19566846231182827,0.5446387485533706,0.11051648264117651,0.8853111761430986,-1.0320946668653865,-0.03387229150550375,0.05393941092951887
5,sas,maritime,band_6,0.2952200911935678,0.14570922487652094,0.44266014231710044,0.08559701080623446,0.6905338881960797,-0.8390299228756325,-0.034468901088987355,0.039274947684766276
6,sas,maritime,band_7,0.2579880118533214,0.10889371363934747,0.35425379162671594,0.05592964098641187,0.5371603046342449,-0.6739776367844039,-0.029584332415584978,0.03207535646772888
7,sas,continental,band_1,0.3617419845219493,0.4103370782123309,0.8017066961291128,0.22216000747390482,1.757846362751468,-1.8141183626029698,0.11064480616129245,0.1921981208729029
8,sas,continental,band_2,0.38463639498909935,0.285786259175468,0.6968895423141687,0.15095961894597465,1.4234128912427992,-1.508065079008302,0.059675638891432715,0.14687160742768296
9,sas,continental,band_3,0.36912058282092347,0.15667559489105196,0.5444653137835614,0.08061086590659328,1.0127710077176748,-1.1239624401823554,0.010362621870572193,0.0916721503545826
10,sas,continental,band_4,0.3286671883203599,0.09364331936200972,0.4325045947780898,0.04605799372813351,0.7567714792788968,-0.8729782477729776,-0.008862651106573064,0.06139726381806332
11,sas,continental,band_5,0.24074879489960488,0.04169488355105816,0.2803223387605979,0.018504622537884336,0.4596870310242171,-0.5619060098698712,-0.01647202207412313,0.03289508321405826
12,sas,continental,band_6,0.10960997358288777,0.018831653741188684,0.11809660069397084,0.0014254199417024357,0.1811886849972687,-0.23379172131582462,-0.010208932004597104,0.01183228922227525
13,sas,continental,band_7,0.08094053565445035,0.018616029673534578,0.08791829101548075,0.0013468085007706156,0.13414539066359754,-0.1754348116430909,-0.008092069379131341,0.008384793504059851
